version,time,type,id,state,edges,number,begin,end,depart,time2,id3,id4,type5,depart6,route,distance,speedFactor,state7,pos,speed,posLat,waitingTime,id8,value
1.8.0,100,micro,!194,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!196,0,489945116#0 489945116#1 489945116#2 489945116#3 489945116#4 489945116#5 489945116#6,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!197,0,167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!199,0,506695204#1 506695197#0 506695197#1 489945116#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!200,0,506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!202,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!22,0,216650113 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!23,0,216650113 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!24,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!3,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!31,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!32,0,565242144#2 565242144#3 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!36,0,565242144#2 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!37,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!38,0,565242144#2 565242144#3 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!40,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!41,0,506695204#1 gneE0 gneE1 746397613#1 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!44,0,216650113 -216650113,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!47,0,216650113 565242144#3 565242144#4 506695196#0 506695196#1 167533249#0 167533249#1,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!48,0,gneE1 746397613#1 565242144#4 506695196#0 489945116#3 489945116#4 489945116#5 489945116#6,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
1.8.0,100,micro,!49,0,gneE0 gneE1 746397613#1 565242144#4 565242144#5,47,139,20,27,612,DEFAULT_VEHTYPE,,,,,,,,,,,,,
